img_id,generated_caption
391895,a man riding a motorcycle on a dirt road 
522418,a woman cutting a cake with a knife 
184613,a young boy holding an umbrella while standing in a field 
318219,a young boy is using a computer while sitting at a desk 
554625,a boy in a black shirt and a black and white computer 
574769,a woman holding a cat in a kitchen 
60623,a girl sitting at a table with a lit candle 
309022,"a kitchen with a stove, a sink, and a counter top "
5802,a man in a chef's outfit is in a kitchen 
222564,a chef in a kitchen preparing food in a restaurant 
118113,a room with a table and a shelf full of books 
193271,"a kitchen with a stove, sink, and cabinets "
224736,"a kitchen with a sink, toilet and a counter top "
483108,a man riding a bicycle past a train 
403013,"a kitchen with a stove, refrigerator, sink and a microwave "
374628,"a kitchen with a table, chairs, and a refrigerator "
328757,a woman eating a bowl of vegetables in a kitchen 
384213,"a kitchen with a sink, stove, and window "
293802,a man on a skateboard doing a trick 
86408,"a kitchen with a stove, microwave, and refrigerator "
372938,a truck with a load of luggage on it 
386164,a wooden table topped with wooden bowls and wooden sticks 
223648,a table with a bunch of wooden chairs around it 
204805,a boat with a man on it 
113588,a man sitting at a desk with two computers 
384553,a man riding on the back of an elephant 
337264,a woman and a man are standing in a kitchen 
368402,a woman in a kitchen preparing food in a kitchen 
12448,a baby is laying in bed with a teddy bear 
79841,a man riding a bike down a street next to a tall building 
515289,a man riding a bike with two birds on his back 
562150,a little girl holding a cat in her arms 
542145,"a bathroom with a toilet, sink, and mirror "
412151,a man and a child are working on a bike 
579003,"a bathroom with a sink, toilet and shower stall "
540186,"a bathroom with a sink, mirror, and bathtub "
242611,"a bathroom with a sink, mirror, and bathtub "
51191,a bathroom with a large mirror and a tub 
269105,a green toilet sitting next to a wall with a picture of a cat on it 
294832,"a bathroom with a toilet, sink, and shower "
462565,a man riding a bike down a street next to a bunch of people 
144941,a bathroom with a toilet and a sink 
173350,a dog and a cat sitting on the floor 
60760,a bathroom with a toilet and a sink 
324266,"a bathroom with a tub, sink, and shower "
166532,"a bathroom with a tub, sink, and shower "
262284,a shower with a glass door and a shower curtain 
360772,a bathroom with a toilet and a sink 
191381,a toilet with a white lid and a black and white toilet paper 
111076,a white toilet sitting next to a sink in a bathroom 
340559,a kitchen with a sink and a stove 
258985,a toilet sitting on the side of a sidewalk next to a bush 
509822,a bicycle parked next to a door 
321107,a woman riding a bike down a street 
229643,a man taking a picture of himself in a bathroom mirror 
125059,a bathroom with a toilet and sink with a mirror 
455483,"a bathroom with a sink, mirror, and bathtub "
436141,"a bathroom with a toilet, sink, and mirror "
129001,"a bathroom with a tub, toilet, sink and shower "
232262,a city street filled with traffic and cars 
61181,a busy street filled with lots of traffic 
166323,a bathroom with a sink and a mirror 
580041,a street filled with lots of traffic and cars 
326781,"a bathroom with a toilet, shower, and sink "
387362,a man taking a picture of himself in a bathroom mirror 
138079,"a bathroom with a toilet, shower, and sink "
556616,a parking meter on a city street 
472621,"a bathroom with a sink, tub, and mirror "
192440,"a bathroom with a toilet, sink, and shelf "
86320,"a bathroom with a sink, mirror, and a toilet "
256668,a urinal with a white and black lid 
383445,a donut is sitting on a car hood 
565797,a cat is sitting on the hood of a red car 
81922,a plane flying over a city street with a car 
50125,a bus is parked in a parking lot 
364521,a yellow toilet with a yellow seat and a yellow helmet 
394892,a young girl riding a skateboard down a street 
1146,a man wearing a tie and a shirt 
310391,a blue and white truck with a blue roof 
97434,a police officer is on the street with a motorcycle 
463836,a man standing in a room with a wall 
241876,a cat sitting on top of a toilet bowl 
156832,a bathroom with a toilet and a sink 
270721,"a bathroom with a toilet, shower, and sink "
462341,a clock tower with a bird flying in the sky 
310103,a motorcycle with a sticker on it 
32992,a wooden vase with a picture of a cow on it 
122851,a man is standing by a bunch of bananas 
540763,a bathroom with a toilet and a bathtub 
138246,a field with a horse and a horse-drawn carriage 
197254,a horse drawn carriage is driving down the street 
32907,a white toilet sitting on the side of a road 
251252,a motorcycle parked in a parking space with people 
37675,two horses grazing in a field near a building 
159537,a clock tower with a clock on top 
268556,a woman is riding a motorcycle on the street 
271177,a motorcycle parked on the side of a road 
75051,a toilet in a bathroom with a white toilet paper dispenser 
549399,a blue motorcycle parked in front of a brick building 
85160,a man sitting at a desk working on a laptop 
